game_date,game_pk,matchup,fetched_at,game_status,away_runs_1st,home_runs_1st,nrfi_actual,final_away_runs,final_home_runs,away_runs_f5,home_runs_f5,f5_total_actual,f5_ml_winner_side,f5_innings_complete
2026-04-10,822829,MIN @ TOR,2026-04-12T22:18:45,Final,3,0,0,4,10,4,6,10,home,1
2026-04-10,822997,NYY @ TB,2026-04-12T22:18:45,Final,2,2,0,3,5,2,3,5,home,1
2026-04-10,823076,BOS @ STL,2026-04-12T22:18:46,Final,0,0,1,2,3,2,3,5,home,1
2026-04-10,823156,HOU @ SEA,2026-04-12T22:18:44,Final,0,3,0,6,9,3,5,8,home,1
2026-04-10,823318,COL @ SD,2026-04-12T22:18:45,Final,0,0,1,2,5,0,2,2,home,1
2026-04-10,823482,AZ @ PHI,2026-04-12T22:18:45,Final,0,4,0,5,4,5,4,9,away,1
2026-04-10,823643,ATH @ NYM,2026-04-12T22:18:44,Final,0,0,1,4,0,1,0,1,away,1
2026-04-10,823808,WSH @ MIL,2026-04-12T22:18:46,Final,2,3,0,7,3,2,3,5,home,1
2026-04-10,823968,TEX @ LAD,2026-04-12T22:18:44,Final,0,0,1,7,8,4,3,7,away,1
2026-04-10,824128,CWS @ KC,2026-04-12T22:18:43,Final,0,0,1,0,2,0,1,1,home,1
2026-04-10,824297,MIA @ DET,2026-04-12T22:18:43,Final,0,0,1,0,2,0,2,2,home,1
2026-04-10,824534,LAA @ CIN,2026-04-12T22:18:44,Final,0,0,1,10,2,4,1,5,away,1
2026-04-10,824695,PIT @ CHC,2026-04-12T22:18:43,Final,0,0,1,2,0,0,0,0,tie,1
2026-04-10,824858,SF @ BAL,2026-04-12T22:18:43,Final,0,0,1,6,3,3,1,4,away,1
2026-04-10,824941,CLE @ ATL,2026-04-12T22:18:44,Final,0,0,1,5,11,2,1,3,away,1
2026-04-11,822830,MIN @ TOR,2026-04-12T22:18:48,Final,0,2,0,7,4,7,2,9,away,1
2026-04-11,822996,NYY @ TB,2026-04-12T22:18:47,Final,0,0,1,4,5,1,1,2,tie,1
2026-04-11,823074,BOS @ STL,2026-04-12T22:18:48,Final,0,0,1,7,1,2,0,2,away,1
2026-04-11,823155,HOU @ SEA,2026-04-12T22:18:46,Final,0,2,0,7,8,7,7,14,tie,1
2026-04-11,823316,COL @ SD,2026-04-12T22:18:47,Final,2,0,0,5,9,4,6,10,home,1
2026-04-11,823480,AZ @ PHI,2026-04-12T22:18:49,Final,2,0,0,3,4,2,4,6,home,1
2026-04-11,823644,ATH @ NYM,2026-04-12T22:18:47,Final,0,1,0,11,6,7,3,10,away,1
